1.8860 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.3189 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.7823 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018B42258E80>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000018B45DCB430>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.7824 	EXP 	window1: mouseVisible = True
8.7826 	EXP 	window1: mouseVisible = False
8.7826 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.7826 	EXP 	window1: recordFrameIntervals = False
8.9481 	EXP 	window1: recordFrameIntervals = True
9.1323 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
9.1324 	EXP 	window1: recordFrameIntervals = False
12.6072 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
12.6247 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
12.6262 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
12.6266 	EXP 	New trial (rep=0, index=0): None
12.6290 	DATA 	Keypress: up
12.6419 	EXP 	grating: ori = 0.0
12.6419 	EXP 	fixation: autoDraw = True
13.5654 	DATA 	Keypress: up
13.6602 	EXP 	grating: autoDraw = True
13.6602 	EXP 	grating: tex = 'sin'
13.6632 	EXP 	fixation: autoDraw = False
13.9639 	EXP 	grating: autoDraw = False
16.6670 	EXP 	New trial (rep=1, index=0): None
16.6681 	DATA 	Keypress: up
16.6801 	EXP 	fixation: autoDraw = False
16.6801 	EXP 	grating: autoDraw = False
16.6801 	EXP 	grating: ori = 0.0
16.6801 	EXP 	fixation: autoDraw = True
17.6801 	EXP 	fixation: autoDraw = False
17.6801 	EXP 	grating: autoDraw = True
17.9801 	EXP 	grating: autoDraw = False
18.2011 	EXP 	New trial (rep=2, index=0): None
18.2034 	DATA 	Keypress: up
18.2132 	EXP 	fixation: autoDraw = False
18.2132 	EXP 	grating: autoDraw = False
18.2132 	EXP 	grating: ori = 4.0
18.2132 	EXP 	fixation: autoDraw = True
19.2132 	EXP 	fixation: autoDraw = False
19.2132 	EXP 	grating: autoDraw = True
19.5127 	EXP 	grating: autoDraw = False
19.5645 	EXP 	New trial (rep=3, index=0): None
19.5657 	DATA 	Keypress: up
19.5797 	EXP 	fixation: autoDraw = False
19.5797 	EXP 	grating: autoDraw = False
19.5797 	EXP 	grating: ori = 0.0
19.5797 	EXP 	fixation: autoDraw = True
20.5796 	EXP 	fixation: autoDraw = False
20.5796 	EXP 	grating: autoDraw = True
20.8794 	EXP 	grating: autoDraw = False
21.1650 	EXP 	New trial (rep=4, index=0): None
21.1660 	DATA 	Keypress: up
21.1793 	EXP 	fixation: autoDraw = False
21.1793 	EXP 	grating: autoDraw = False
21.1793 	EXP 	grating: ori = 0.0
21.1793 	EXP 	fixation: autoDraw = True
22.1794 	EXP 	fixation: autoDraw = False
22.1794 	EXP 	grating: autoDraw = True
22.4792 	EXP 	grating: autoDraw = False
22.6646 	EXP 	New trial (rep=5, index=0): None
22.6658 	DATA 	Keypress: up
22.6791 	EXP 	fixation: autoDraw = False
22.6791 	EXP 	grating: autoDraw = False
